neighbourhood,room_type,price,premium
Adachi Ku,Entire home/apt,12915.0,0.7972222222222223
Adachi Ku,Hotel room,,
Adachi Ku,Private room,7000.0,0.43209876543209874
Adachi Ku,Shared room,5015.0,0.3095679012345679
Akiruno Shi,Entire home/apt,20846.0,1.2867901234567902
Akiruno Shi,Private room,15042.5,0.9285493827160494
Akiruno Shi,Shared room,6400.0,0.3950617283950617
Akishima Shi,Entire home/apt,7600.5,0.4691666666666667
Arakawa Ku,Entire home/apt,14537.0,0.8973456790123456
Arakawa Ku,Hotel room,20786.5,1.2831172839506173
Arakawa Ku,Private room,12295.0,0.7589506172839506
Arakawa Ku,Shared room,3684.0,0.22740740740740742
Bunkyo Ku,Entire home/apt,14998.0,0.9258024691358024
Bunkyo Ku,Hotel room,5424.0,0.3348148148148148
Bunkyo Ku,Private room,15922.0,0.9828395061728395
Chiyoda Ku,Entire home/apt,26891.0,1.6599382716049382
Chiyoda Ku,Hotel room,,
Chiyoda Ku,Private room,15723.0,0.9705555555555555
Chiyoda Ku,Shared room,4968.5,0.30669753086419754
Chofu Shi,Entire home/apt,14154.0,0.8737037037037036
Chofu Shi,Private room,5760.5,0.3555864197530864
Chofu Shi,Shared room,9335.0,0.5762345679012346
Chuo Ku,Entire home/apt,26483.0,1.634753086419753
Chuo Ku,Hotel room,18169.0,1.1215432098765432
Chuo Ku,Private room,21807.5,1.3461419753086419
Chuo Ku,Shared room,12372.0,0.7637037037037037
Edogawa Ku,Entire home/apt,15907.0,0.9819135802469136
Edogawa Ku,Private room,8245.0,0.5089506172839506
Fuchu Shi,Entire home/apt,7496.5,0.4627469135802469
Fuchu Shi,Private room,6065.0,0.3743827160493827
Fussa Shi,Entire home/apt,13279.0,0.8196913580246914
Fussa Shi,Private room,6900.0,0.42592592592592593
Hachioji Shi,Entire home/apt,9467.0,0.5843827160493827
Hachioji Shi,Private room,10097.0,0.6232716049382716
Hachioji Shi,Shared room,7682.0,0.4741975308641975
Hamura Shi,Entire home/apt,7736.0,0.4775308641975309
Higashimurayama Shi,Entire home/apt,8100.0,0.5
Higashimurayama Shi,Private room,4151.5,0.25626543209876546
